"","ID","NO2","Filename"
"117",5,NA,"NO2d_2020m1021.nc"
"118",6,NA,"NO2d_2020m1021.nc"
"119",7,1676179169869824,"NO2d_2020m1021.nc"
"120",8,NA,"NO2d_2020m1021.nc"
"121",1,NA,"NO2d_2020m1022.nc"
"122",2,1838844143992832,"NO2d_2020m1022.nc"
"123",3,1191862752772096,"NO2d_2020m1022.nc"
"124",4,1315724140216320,"NO2d_2020m1022.nc"
"125",5,1245096607481856,"NO2d_2020m1022.nc"
"126",6,2256510319067136,"NO2d_2020m1022.nc"
"127",7,NA,"NO2d_2020m1022.nc"
"128",8,NA,"NO2d_2020m1022.nc"
"129",1,NA,"NO2d_2020m1023.nc"
"130",2,NA,"NO2d_2020m1023.nc"
"131",3,NA,"NO2d_2020m1023.nc"
"132",4,NA,"NO2d_2020m1023.nc"
"133",5,NA,"NO2d_2020m1023.nc"
"134",6,NA,"NO2d_2020m1023.nc"
"135",7,3559862705324032,"NO2d_2020m1023.nc"
"136",8,3573653845311488,"NO2d_2020m1023.nc"
"137",1,NA,"NO2d_2020m1024.nc"
"138",2,NA,"NO2d_2020m1024.nc"
"139",3,NA,"NO2d_2020m1024.nc"
"140",4,857562647887872,"NO2d_2020m1024.nc"
"141",5,1211626162225152,"NO2d_2020m1024.nc"
"142",6,1475848741847040,"NO2d_2020m1024.nc"
"143",7,NA,"NO2d_2020m1024.nc"
"144",8,NA,"NO2d_2020m1024.nc"
"145",1,NA,"NO2d_2020m1025.nc"
"146",2,NA,"NO2d_2020m1025.nc"
"147",3,NA,"NO2d_2020m1025.nc"
"148",4,NA,"NO2d_2020m1025.nc"
"149",5,NA,"NO2d_2020m1025.nc"
"150",6,69995228823552,"NO2d_2020m1025.nc"
"151",7,NA,"NO2d_2020m1025.nc"
"152",8,NA,"NO2d_2020m1025.nc"
"153",1,NA,"NO2d_2020m1026.nc"
"154",2,2149110501081088,"NO2d_2020m1026.nc"
"155",3,1188084943159296,"NO2d_2020m1026.nc"
"156",4,1483139851485184,"NO2d_2020m1026.nc"
"157",5,1528309670215680,"NO2d_2020m1026.nc"
"158",6,NA,"NO2d_2020m1026.nc"
"159",7,NA,"NO2d_2020m1026.nc"
"160",8,NA,"NO2d_2020m1026.nc"
"161",1,NA,"NO2d_2020m1027.nc"
"162",2,NA,"NO2d_2020m1027.nc"
"163",3,NA,"NO2d_2020m1027.nc"
"164",4,1414486611197952,"NO2d_2020m1027.nc"
"165",5,1256209952800768,"NO2d_2020m1027.nc"
"166",6,2011271444561920,"NO2d_2020m1027.nc"
"167",7,NA,"NO2d_2020m1027.nc"
"168",8,NA,"NO2d_2020m1027.nc"
"169",1,NA,"NO2d_2020m1028.nc"
"170",2,2171762125045760,"NO2d_2020m1028.nc"
"171",3,NA,"NO2d_2020m1028.nc"
"172",4,NA,"NO2d_2020m1028.nc"
"173",5,NA,"NO2d_2020m1028.nc"
"174",6,NA,"NO2d_2020m1028.nc"
"175",7,NA,"NO2d_2020m1028.nc"
"176",8,NA,"NO2d_2020m1028.nc"
"177",1,NA,"NO2d_2020m1029.nc"
"178",2,NA,"NO2d_2020m1029.nc"
"179",3,1442349339115520,"NO2d_2020m1029.nc"
"180",4,1050957643251712,"NO2d_2020m1029.nc"
"181",5,1784110422949888,"NO2d_2020m1029.nc"
"182",6,4203336584658944,"NO2d_2020m1029.nc"
"183",7,NA,"NO2d_2020m1029.nc"
"184",8,NA,"NO2d_2020m1029.nc"
"185",1,1546633426763776,"NO2d_2020m1030.nc"
"186",2,1627223891116032,"NO2d_2020m1030.nc"
"187",3,NA,"NO2d_2020m1030.nc"
"188",4,NA,"NO2d_2020m1030.nc"
"189",5,NA,"NO2d_2020m1030.nc"
"190",6,NA,"NO2d_2020m1030.nc"
"191",7,623227671937024,"NO2d_2020m1030.nc"
"192",8,NA,"NO2d_2020m1030.nc"
"193",1,1665344443777024,"NO2d_2020m1031.nc"
"194",2,1055794296520704,"NO2d_2020m1031.nc"
"195",3,-586866495586304,"NO2d_2020m1031.nc"
"196",4,1275342689927168,"NO2d_2020m1031.nc"
"197",5,1577768181563392,"NO2d_2020m1031.nc"
"198",6,2603534281342976,"NO2d_2020m1031.nc"
"199",7,NA,"NO2d_2020m1031.nc"
"200",8,NA,"NO2d_2020m1031.nc"
"201",1,NA,"NO2d_2020m1101.nc"
"202",2,NA,"NO2d_2020m1101.nc"
"203",3,NA,"NO2d_2020m1101.nc"
"204",4,NA,"NO2d_2020m1101.nc"
"205",5,NA,"NO2d_2020m1101.nc"
"206",6,3634783041093632,"NO2d_2020m1101.nc"
"207",7,2744499402964992,"NO2d_2020m1101.nc"
"208",8,4045223537672192,"NO2d_2020m1101.nc"
"209",1,NA,"NO2d_2020m1102.nc"
"210",2,2264388329275392,"NO2d_2020m1102.nc"
"211",3,NA,"NO2d_2020m1102.nc"
"212",4,1083240362278912,"NO2d_2020m1102.nc"
"213",5,1131835299987456,"NO2d_2020m1102.nc"
"214",6,5281492292861952,"NO2d_2020m1102.nc"
"215",7,3031090491031552,"NO2d_2020m1102.nc"
"216",8,NA,"NO2d_2020m1102.nc"
"217",1,NA,"NO2d_2020m1103.nc"
"218",2,NA,"NO2d_2020m1103.nc"
"219",3,NA,"NO2d_2020m1103.nc"
"220",4,1979368763031552,"NO2d_2020m1103.nc"
"221",5,2400512318111744,"NO2d_2020m1103.nc"
"222",6,3431432177319936,"NO2d_2020m1103.nc"
"223",7,NA,"NO2d_2020m1103.nc"
"224",8,7165749206450176,"NO2d_2020m1103.nc"
"225",1,NA,"NO2d_2020m1104.nc"
"226",2,3317919010258944,"NO2d_2020m1104.nc"
"227",3,2145148662185984,"NO2d_2020m1104.nc"
"228",4,901817034604544,"NO2d_2020m1104.nc"
"229",5,1223936914227200,"NO2d_2020m1104.nc"
"230",6,NA,"NO2d_2020m1104.nc"
"231",7,2439507064389632,"NO2d_2020m1104.nc"
"232",8,NA,"NO2d_2020m1104.nc"
"233",1,NA,"NO2d_2020m1105.nc"
"234",2,NA,"NO2d_2020m1105.nc"
"235",3,NA,"NO2d_2020m1105.nc"
"236",4,1226804375322624,"NO2d_2020m1105.nc"
"237",5,1907662740520960,"NO2d_2020m1105.nc"
"238",6,4070803557580800,"NO2d_2020m1105.nc"
"239",7,NA,"NO2d_2020m1105.nc"
"240",8,5854086595346432,"NO2d_2020m1105.nc"
"241",1,NA,"NO2d_2020m1106.nc"
"242",2,NA,"NO2d_2020m1106.nc"
"243",3,1980233259417600,"NO2d_2020m1106.nc"
"244",4,NA,"NO2d_2020m1106.nc"
"245",5,NA,"NO2d_2020m1106.nc"
"246",6,NA,"NO2d_2020m1106.nc"
"247",7,2226627547234304,"NO2d_2020m1106.nc"
"248",8,3242760974893056,"NO2d_2020m1106.nc"
"249",1,3519697244913664,"NO2d_2020m1107.nc"
"250",2,1131996394815488,"NO2d_2020m1107.nc"
"251",3,NA,"NO2d_2020m1107.nc"
"252",4,NA,"NO2d_2020m1107.nc"
"253",5,NA,"NO2d_2020m1107.nc"
"254",6,1578830112227328,"NO2d_2020m1107.nc"
"255",7,NA,"NO2d_2020m1107.nc"
"256",8,NA,"NO2d_2020m1107.nc"
"257",1,1532877720256512,"NO2d_2020m1108.nc"
"258",2,NA,"NO2d_2020m1108.nc"
"259",3,NA,"NO2d_2020m1108.nc"
"260",4,NA,"NO2d_2020m1108.nc"
"261",5,NA,"NO2d_2020m1108.nc"
"262",6,NA,"NO2d_2020m1108.nc"
"263",7,NA,"NO2d_2020m1108.nc"
"264",8,3827327767150592,"NO2d_2020m1108.nc"
"265",1,4805581999177728,"NO2d_2020m1109.nc"
"266",2,2054734986870784,"NO2d_2020m1109.nc"
"267",3,NA,"NO2d_2020m1109.nc"
"268",4,479444523286528,"NO2d_2020m1109.nc"
"269",5,NA,"NO2d_2020m1109.nc"
"270",6,2243510929457152,"NO2d_2020m1109.nc"
"271",7,2545071454945280,"NO2d_2020m1109.nc"
"272",8,NA,"NO2d_2020m1109.nc"
"273",1,575373414760448,"NO2d_2020m1110.nc"
"274",2,NA,"NO2d_2020m1110.nc"
"275",3,NA,"NO2d_2020m1110.nc"
"276",4,NA,"NO2d_2020m1110.nc"
"277",5,NA,"NO2d_2020m1110.nc"
"278",6,2547961967935488,"NO2d_2020m1110.nc"
"279",7,NA,"NO2d_2020m1110.nc"
"280",8,3432719056896000,"NO2d_2020m1110.nc"
"281",1,NA,"NO2d_2020m1111.nc"
"282",2,2653283088859136,"NO2d_2020m1111.nc"
"283",3,NA,"NO2d_2020m1111.nc"
"284",4,1109156706648064,"NO2d_2020m1111.nc"
"285",5,2019862754885632,"NO2d_2020m1111.nc"
"286",6,NA,"NO2d_2020m1111.nc"
"287",7,NA,"NO2d_2020m1111.nc"
"288",8,NA,"NO2d_2020m1111.nc"
"289",1,2714246727073792,"NO2d_2020m1112.nc"
"290",2,NA,"NO2d_2020m1112.nc"
"291",3,NA,"NO2d_2020m1112.nc"
"292",4,1579487493881856,"NO2d_2020m1112.nc"
"293",5,2152980065288192,"NO2d_2020m1112.nc"
"294",6,5409809272668160,"NO2d_2020m1112.nc"
"295",7,NA,"NO2d_2020m1112.nc"
"296",8,3285584751624192,"NO2d_2020m1112.nc"
"297",1,NA,"NO2d_2020m1113.nc"
"298",2,3165438276009984,"NO2d_2020m1113.nc"
"299",3,1751948835422208,"NO2d_2020m1113.nc"
"300",4,NA,"NO2d_2020m1113.nc"
"301",5,NA,"NO2d_2020m1113.nc"
"302",6,NA,"NO2d_2020m1113.nc"
"303",7,3224793516081152,"NO2d_2020m1113.nc"
"304",8,8116222247829504,"NO2d_2020m1113.nc"
"305",1,NA,"NO2d_2020m1114.nc"
"306",2,NA,"NO2d_2020m1114.nc"
"307",3,1962842131529728,"NO2d_2020m1114.nc"
"308",4,391257058705408,"NO2d_2020m1114.nc"
"309",5,1931406208925696,"NO2d_2020m1114.nc"
"310",6,2124633348243456,"NO2d_2020m1114.nc"
"311",7,NA,"NO2d_2020m1114.nc"
"312",8,3123524898127872,"NO2d_2020m1114.nc"
"313",1,NA,"NO2d_2020m1115.nc"
"314",2,2037966276919296,"NO2d_2020m1115.nc"
"315",3,NA,"NO2d_2020m1115.nc"
"316",4,NA,"NO2d_2020m1115.nc"
"317",5,NA,"NO2d_2020m1115.nc"
"318",6,NA,"NO2d_2020m1115.nc"
"319",7,NA,"NO2d_2020m1115.nc"
"320",8,NA,"NO2d_2020m1115.nc"
"321",1,NA,"NO2d_2020m1116.nc"
"322",2,3018294911041536,"NO2d_2020m1116.nc"
"323",3,334249613852672,"NO2d_2020m1116.nc"
"324",4,1427625956343808,"NO2d_2020m1116.nc"
"325",5,2008974878572544,"NO2d_2020m1116.nc"
"326",6,2333393186455552,"NO2d_2020m1116.nc"
"327",7,NA,"NO2d_2020m1116.nc"
"328",8,NA,"NO2d_2020m1116.nc"
"329",1,NA,"NO2d_2020m1117.nc"
"330",2,NA,"NO2d_2020m1117.nc"
"331",3,NA,"NO2d_2020m1117.nc"
"332",4,NA,"NO2d_2020m1117.nc"
"333",5,NA,"NO2d_2020m1117.nc"
"334",6,NA,"NO2d_2020m1117.nc"
"335",7,873706943414272,"NO2d_2020m1117.nc"
"336",8,NA,"NO2d_2020m1117.nc"
"337",1,NA,"NO2d_2020m1118.nc"
"338",2,3149869959086080,"NO2d_2020m1118.nc"
"339",3,1343592840822784,"NO2d_2020m1118.nc"
"340",4,NA,"NO2d_2020m1118.nc"
"341",5,NA,"NO2d_2020m1118.nc"
"342",6,NA,"NO2d_2020m1118.nc"
"343",7,764413447503872,"NO2d_2020m1118.nc"
"344",8,NA,"NO2d_2020m1118.nc"
"345",1,7864984914624512,"NO2d_2020m1119.nc"
"346",2,NA,"NO2d_2020m1119.nc"
"347",3,NA,"NO2d_2020m1119.nc"
"348",4,1777555027787776,"NO2d_2020m1119.nc"
"349",5,1449872578314240,"NO2d_2020m1119.nc"
"350",6,3875203230728192,"NO2d_2020m1119.nc"
"351",7,NA,"NO2d_2020m1119.nc"
"352",8,5562310139576320,"NO2d_2020m1119.nc"
"353",1,NA,"NO2d_2020m1120.nc"
"354",2,2653493475147776,"NO2d_2020m1120.nc"
"355",3,955530902241280,"NO2d_2020m1120.nc"
"356",4,NA,"NO2d_2020m1120.nc"
"357",5,2544749198180352,"NO2d_2020m1120.nc"
"358",6,NA,"NO2d_2020m1120.nc"
"359",7,2187808290635776,"NO2d_2020m1120.nc"
"360",8,NA,"NO2d_2020m1120.nc"
"361",1,NA,"NO2d_2020m1121.nc"
"362",2,NA,"NO2d_2020m1121.nc"
"363",3,NA,"NO2d_2020m1121.nc"
"364",4,1756140748668928,"NO2d_2020m1121.nc"
"365",5,2243473180721152,"NO2d_2020m1121.nc"
"366",6,2440203117527040,"NO2d_2020m1121.nc"
"367",7,NA,"NO2d_2020m1121.nc"
"368",8,NA,"NO2d_2020m1121.nc"
"369",1,NA,"NO2d_2020m1122.nc"
"370",2,2448782448918528,"NO2d_2020m1122.nc"
"371",3,NA,"NO2d_2020m1122.nc"
"372",4,NA,"NO2d_2020m1122.nc"
"373",5,NA,"NO2d_2020m1122.nc"
"374",6,NA,"NO2d_2020m1122.nc"
"375",7,-917589765128192,"NO2d_2020m1122.nc"
"376",8,NA,"NO2d_2020m1122.nc"
"377",1,NA,"NO2d_2020m1123.nc"
"378",2,4690789535842304,"NO2d_2020m1123.nc"
"379",3,768341782298624,"NO2d_2020m1123.nc"
"380",4,1191316503396352,"NO2d_2020m1123.nc"
"381",5,1434999945428992,"NO2d_2020m1123.nc"
"382",6,2896548761436160,"NO2d_2020m1123.nc"
"383",7,NA,"NO2d_2020m1123.nc"
"384",8,NA,"NO2d_2020m1123.nc"
"385",1,NA,"NO2d_2020m1124.nc"
"386",2,NA,"NO2d_2020m1124.nc"
"387",3,NA,"NO2d_2020m1124.nc"
"388",4,NA,"NO2d_2020m1124.nc"
"389",5,NA,"NO2d_2020m1124.nc"
"390",6,NA,"NO2d_2020m1124.nc"
"391",7,4094420240564224,"NO2d_2020m1124.nc"
"392",8,NA,"NO2d_2020m1124.nc"
"393",1,NA,"NO2d_2020m1125.nc"
"394",2,2564792334155776,"NO2d_2020m1125.nc"
"395",3,NA,"NO2d_2020m1125.nc"
"396",4,1339014674120704,"NO2d_2020m1125.nc"
"397",5,1282595228745728,"NO2d_2020m1125.nc"
"398",6,2236627036405760,"NO2d_2020m1125.nc"
"399",7,2742225217781760,"NO2d_2020m1125.nc"
"400",8,NA,"NO2d_2020m1125.nc"
"401",1,NA,"NO2d_2020m1126.nc"
"402",2,NA,"NO2d_2020m1126.nc"
"403",3,NA,"NO2d_2020m1126.nc"
"404",4,NA,"NO2d_2020m1126.nc"
"405",5,NA,"NO2d_2020m1126.nc"
"406",6,635509198028800,"NO2d_2020m1126.nc"
"407",7,NA,"NO2d_2020m1126.nc"
"408",8,NA,"NO2d_2020m1126.nc"
"409",1,NA,"NO2d_2020m1127.nc"
"410",2,1792264250589184,"NO2d_2020m1127.nc"
"411",3,NA,"NO2d_2020m1127.nc"
"412",4,859472817815552,"NO2d_2020m1127.nc"
"413",5,258031241658368,"NO2d_2020m1127.nc"
"414",6,NA,"NO2d_2020m1127.nc"
"415",7,667845402820608,"NO2d_2020m1127.nc"
"416",8,NA,"NO2d_2020m1127.nc"
"417",1,2069032983330816,"NO2d_2020m1128.nc"
"418",2,NA,"NO2d_2020m1128.nc"
"419",3,NA,"NO2d_2020m1128.nc"
"420",4,1221090256879616,"NO2d_2020m1128.nc"
"421",5,1267904125337600,"NO2d_2020m1128.nc"
"422",6,3130280344813568,"NO2d_2020m1128.nc"
"423",7,NA,"NO2d_2020m1128.nc"
"424",8,1176335036710912,"NO2d_2020m1128.nc"
"425",1,NA,"NO2d_2020m1129.nc"
"426",2,1554612972683264,"NO2d_2020m1129.nc"
"427",3,NA,"NO2d_2020m1129.nc"
"428",4,NA,"NO2d_2020m1129.nc"
"429",5,NA,"NO2d_2020m1129.nc"
"430",6,NA,"NO2d_2020m1129.nc"
"431",7,NA,"NO2d_2020m1129.nc"
"432",8,2705145959809024,"NO2d_2020m1129.nc"
"433",1,NA,"NO2d_2020m1130.nc"
"434",2,NA,"NO2d_2020m1130.nc"
"435",3,NA,"NO2d_2020m1130.nc"
"436",4,729563252391936,"NO2d_2020m1130.nc"
"437",5,663266682470400,"NO2d_2020m1130.nc"
"438",6,5626920943222784,"NO2d_2020m1130.nc"
"439",7,NA,"NO2d_2020m1130.nc"
"440",8,NA,"NO2d_2020m1130.nc"
"441",1,NA,"NO2d_2020m1201.nc"
"442",2,2271012611686400,"NO2d_2020m1201.nc"
"443",3,NA,"NO2d_2020m1201.nc"
"444",4,NA,"NO2d_2020m1201.nc"
"445",5,NA,"NO2d_2020m1201.nc"
"446",6,NA,"NO2d_2020m1201.nc"
"447",7,4164241376411648,"NO2d_2020m1201.nc"
"448",8,NA,"NO2d_2020m1201.nc"
"449",1,NA,"NO2d_2020m1202.nc"
"450",2,1594085534072832,"NO2d_2020m1202.nc"
"451",3,1987312573480960,"NO2d_2020m1202.nc"
"452",4,1153536511442944,"NO2d_2020m1202.nc"
"453",5,1574497463304192,"NO2d_2020m1202.nc"
"454",6,5044725778219008,"NO2d_2020m1202.nc"
"455",7,NA,"NO2d_2020m1202.nc"
"456",8,NA,"NO2d_2020m1202.nc"
"457",1,6215785655566336,"NO2d_2020m1203.nc"
"458",2,NA,"NO2d_2020m1203.nc"
"459",3,NA,"NO2d_2020m1203.nc"
"460",4,NA,"NO2d_2020m1203.nc"
"461",5,NA,"NO2d_2020m1203.nc"
"462",6,9043895455318016,"NO2d_2020m1203.nc"
"463",7,1331315441926144,"NO2d_2020m1203.nc"
"464",8,NA,"NO2d_2020m1203.nc"
"465",1,NA,"NO2d_2020m1204.nc"
"466",2,3546699402313728,"NO2d_2020m1204.nc"
"467",3,NA,"NO2d_2020m1204.nc"
"468",4,1374379837489152,"NO2d_2020m1204.nc"
"469",5,2272750429274112,"NO2d_2020m1204.nc"
"470",6,2375061885419520,"NO2d_2020m1204.nc"
"471",7,NA,"NO2d_2020m1204.nc"
"472",8,NA,"NO2d_2020m1204.nc"
"473",1,NA,"NO2d_2020m1205.nc"
"474",2,NA,"NO2d_2020m1205.nc"
"475",3,NA,"NO2d_2020m1205.nc"
"476",4,2220001654210560,"NO2d_2020m1205.nc"
"477",5,3087894117875712,"NO2d_2020m1205.nc"
"478",6,4855356912041984,"NO2d_2020m1205.nc"
"479",7,NA,"NO2d_2020m1205.nc"
"480",8,NA,"NO2d_2020m1205.nc"
"481",1,NA,"NO2d_2020m1206.nc"
"482",2,2283922813616128,"NO2d_2020m1206.nc"
"483",3,NA,"NO2d_2020m1206.nc"
"484",4,1092499103809536,"NO2d_2020m1206.nc"
"485",5,1246004271644672,"NO2d_2020m1206.nc"
"486",6,NA,"NO2d_2020m1206.nc"
"487",7,5330598801440768,"NO2d_2020m1206.nc"
"488",8,NA,"NO2d_2020m1206.nc"
"489",1,5286339163455488,"NO2d_2020m1207.nc"
"490",2,NA,"NO2d_2020m1207.nc"
"491",3,NA,"NO2d_2020m1207.nc"
"492",4,832216603033600,"NO2d_2020m1207.nc"
"493",5,803501617709056,"NO2d_2020m1207.nc"
"494",6,760009428303872,"NO2d_2020m1207.nc"
"495",7,NA,"NO2d_2020m1207.nc"
"496",8,NA,"NO2d_2020m1207.nc"
"497",1,NA,"NO2d_2020m1208.nc"
"498",2,1690084428480512,"NO2d_2020m1208.nc"
"499",3,2036822674767872,"NO2d_2020m1208.nc"
"500",4,NA,"NO2d_2020m1208.nc"
"501",5,NA,"NO2d_2020m1208.nc"
"502",6,NA,"NO2d_2020m1208.nc"
"503",7,4115207345405952,"NO2d_2020m1208.nc"
"504",8,NA,"NO2d_2020m1208.nc"
"505",1,NA,"NO2d_2020m1209.nc"
"506",2,2590669310787584,"NO2d_2020m1209.nc"
"507",3,2382848459800576,"NO2d_2020m1209.nc"
"508",4,2136928732315648,"NO2d_2020m1209.nc"
"509",5,2985117295312896,"NO2d_2020m1209.nc"
"510",6,4045334133080064,"NO2d_2020m1209.nc"
"511",7,NA,"NO2d_2020m1209.nc"
"512",8,NA,"NO2d_2020m1209.nc"
"513",1,NA,"NO2d_2020m1210.nc"
"514",2,NA,"NO2d_2020m1210.nc"
"515",3,NA,"NO2d_2020m1210.nc"
"516",4,NA,"NO2d_2020m1210.nc"
"517",5,NA,"NO2d_2020m1210.nc"
"518",6,NA,"NO2d_2020m1210.nc"
"519",7,4272451198386176,"NO2d_2020m1210.nc"
"520",8,6287485302734848,"NO2d_2020m1210.nc"
"521",1,8049075802865664,"NO2d_2020m1211.nc"
"522",2,NA,"NO2d_2020m1211.nc"
"523",3,NA,"NO2d_2020m1211.nc"
"524",4,1926809973161984,"NO2d_2020m1211.nc"
"525",5,2596293704679424,"NO2d_2020m1211.nc"
"526",6,NA,"NO2d_2020m1211.nc"
"527",7,3175358442504192,"NO2d_2020m1211.nc"
"528",8,NA,"NO2d_2020m1211.nc"
"529",1,NA,"NO2d_2020m1212.nc"
"530",2,NA,"NO2d_2020m1212.nc"
"531",3,NA,"NO2d_2020m1212.nc"
"532",4,NA,"NO2d_2020m1212.nc"
"533",5,NA,"NO2d_2020m1212.nc"
"534",6,1006361370427392,"NO2d_2020m1212.nc"
"535",7,NA,"NO2d_2020m1212.nc"
"536",8,NA,"NO2d_2020m1212.nc"
"537",1,NA,"NO2d_2020m1213.nc"
"538",2,1026447372189696,"NO2d_2020m1213.nc"
"539",3,1563309711032320,"NO2d_2020m1213.nc"
"540",4,NA,"NO2d_2020m1213.nc"
"541",5,NA,"NO2d_2020m1213.nc"
"542",6,NA,"NO2d_2020m1213.nc"
"543",7,-37456736944128,"NO2d_2020m1213.nc"
"544",8,NA,"NO2d_2020m1213.nc"
